!Agilent,Technologies,N5242A,MY48420936,A.09.20.06,,,,
!Agilent,N5242A:,A.09.20.06,,,,,,
!Date:,Thursday,January,17,2013,9:52:53,,,
!Correction:,S11(Full,2,Port(1,2)),,,,
!S21(Full,2,Port(1,2)),,,,,
!S12(Full,2,Port(1,2)),,,,,
!S22(Full,2,Port(1,2)),,,,,
!S2P,File:,Measurements:,S11,S21,S12,S22:,,
#,Hz,S,dB,R,50,,,
10000000,-12.285791,-134.9951,-2.3952639,-10.617912,-0.79487252,-13.099424,-6.601614,28.144539
22475000,-15.504327,-159.88814,-1.840452,-63.693188,-0.94960052,-74.029686,-8.5644779,-89.118141
34950000,-13.026481,-152.94218,-1.763261,-119.35365,-0.92599136,-140.31584,-9.8403511,154.49605
47425000,-23.808487,-163.13956,-1.6951599,-169.42598,-0.94438887,158.36417,-10.376671,44.732384
59900000,-18.975784,-112.66352,-1.3925211,135.19986,-0.71811515,93.05072,-11.419867,-61.880981
72375000,-26.750862,106.85267,0.22316606,-84.162224,0.13784237,-89.832237,-15.233961,106.58824
84850000,-17.927849,66.038452,0.31962377,-146.09041,0.225133,-156.82098,-18.589754,-29.806908
97325000,-21.226019,33.204212,0.24210522,152.76125,0.087366864,136.64157,-18.34506,170.34357
109800000,-17.774221,55.528625,0.30578166,90.964371,0.10636365,70.148727,-14.463842,35.455849
122275000,-19.374327,173.73195,-0.096102215,-107.81894,-0.12053023,-114.17642,-20.318178,159.8884
134750000,-18.348907,101.54323,-0.16070999,-168.13464,-0.19149369,179.44133,-19.504494,86.083344
147225000,-18.553482,36.518871,-0.21484989,131.13788,-0.23029692,113.32085,-19.490705,11.903016
159700000,-18.835064,-17.685432,-0.16692202,70.463531,-0.17120722,46.69125,-19.818527,-50.140961
172175000,-16.226154,132.0166,-0.18265034,-128.95491,-0.18537857,-135.4492,-17.195858,141.32552
184650000,-17.327311,61.994942,-0.18612206,170.91232,-0.17011654,158.11403,-17.574991,81.852196
197125000,-21.617678,25.649874,-0.19481103,110.39649,-0.15307815,91.283897,-19.236309,22.256214
209600000,-17.860998,-5.5082164,-0.30251369,49.28754,-0.19912182,24.285257,-21.24818,-53.542446
222075000,-17.926882,112.5323,-0.17850354,-151.55534,-0.19698957,-157.43565,-16.667028,124.80353
234550000,-16.959269,64.023178,-0.20909841,146.73294,-0.24453445,135.40276,-15.766667,51.960945
247025000,-14.801364,5.4679832,-0.33247909,86.105949,-0.33452678,68.691971,-14.471491,-19.839458
259500000,-13.654621,-68.997223,-0.29159015,25.57279,-0.28280449,2.0440578,-14.035676,-91.624809
271975000,-15.32446,83.409218,-0.29853201,-171.95825,-0.23475523,-177.77039,-16.190498,93.017578
284450000,-15.435323,33.228558,-0.24172668,126.83439,-0.20271716,115.34801,-16.767088,29.088831
296925000,-14.669696,-20.297129,-0.28667277,65.600105,-0.19488125,48.129841,-16.027933,-30.216574
309400000,-14.603179,-82.66172,-0.37962323,4.9512587,-0.2833769,-18.960241,-14.722745,-94.343315
321875000,-16.170752,62.929073,-0.2810998,165.06458,-0.36396065,159.92542,-15.689138,89.011711
334350000,-14.815619,9.1196308,-0.28662443,104.30163,-0.38861319,93.172821,-15.289407,16.076252
346825000,-12.903009,-46.875206,-0.46438599,44.065632,-0.44799003,26.765795,-13.857729,-64.4533
359300000,-13.546573,-117.51015,-0.45910582,-15.76532,-0.45559475,-39.327232,-13.101704,-139.40056
371775000,-16.452948,42.396492,-0.27192295,144.24174,-0.34886059,138.35611,-15.256452,55.849747
384250000,-14.806852,-5.8682632,-0.35015765,83.342102,-0.36012849,71.641472,-16.169287,-13.685056
396725000,-13.147317,-69.671417,-0.4617705,22.778589,-0.41726962,4.8185716,-16.297352,-69.101967
409200000,-13.745471,-142.78062,-0.49148354,-37.612732,-0.4933458,-61.960384,-15.116156,-129.0006
421675000,-16.446722,13.186461,-0.33496863,120.69304,-0.36268157,116.05523,-16.238522,38.142517
434150000,-16.325792,-48.680637,-0.33276621,59.600033,-0.34887952,49.207424,-16.149231,-29.685154
446625000,-15.603499,-107.14807,-0.29330984,-2.6689546,-0.38348567,-17.651495,-16.358732,-90.451439
459100000,-15.03221,-168.21921,-0.30858457,-63.596191,-0.43231305,-84.301758,-17.198769,-155.42688
471575000,-17.190819,-23.297216,-0.33198661,97.651039,-0.26766258,92.033371,-17.957464,25.095791
484050000,-18.620153,-80.524559,-0.27585939,36.335758,-0.25260273,24.671347,-17.803553,-45.17292
496525000,-21.263224,-124.08928,-0.26369545,-25.352341,-0.25711253,-42.855053,-18.390024,-115.12149
509000000,-21.250046,-174.73993,-0.26806855,-87.209526,-0.25444135,-110.38701,-21.399258,173.85924
521475000,-24.23419,-58.557125,-0.2431317,73.996521,-0.23096666,67.989059,-24.547415,11.486669
533950000,-23.100729,-98.803513,-0.28729731,12.28106,-0.24363308,0.47240502,-23.755402,-55.434376
546425000,-19.963812,-170.28856,-0.35081175,-49.086422,-0.28117824,-67.018372,-19.333031,-116.44313
558900000,-20.025766,105.6226,-0.38947943,-110.05969,-0.31830591,-134.13641,-17.472549,177.48831
571375000,-29.289547,-134.29926,-0.23431168,48.262749,-0.28132719,42.425011,-26.140499,33.571568
583850000,-27.22344,138.15102,-0.25189954,-13.682221,-0.27983636,-25.516382,-32.087364,-45.907051
596325000,-23.15781,17.869406,-0.34004995,-76.031296,-0.34157285,-93.569969,-24.779491,0.59263575
608800000,-23.535851,-79.65538,-0.38330719,-138.04848,-0.396947,-161.16791,-18.655386,-89.441139
621275000,-26.049561,94.536972,-0.29683444,21.918909,-0.32140091,16.709679,-22.812695,95.477234
633750000,-28.30287,74.409386,-0.24535036,-40.623093,-0.28088555,-51.23756,-21.179125,37.701912
646225000,-18.306253,14.756694,-0.26738128,-103.60735,-0.28819522,-119.63727,-18.620672,-31.960268
658700000,-15.063086,-68.860558,-0.26470974,-165.96945,-0.33400896,172.42249,-18.414982,-111.68958
671175000,-18.427324,79.649071,-0.39727634,-5.1449385,-0.34174168,-10.859675,-18.117273,74.072922
683650000,-15.849193,14.093718,-0.39979157,-68.131836,-0.32381535,-79.872726,-18.537319,17.088964
696125000,-14.269044,-56.72728,-0.46164092,-130.72293,-0.38643271,-149.02373,-15.53649,-39.615643
708600000,-15.901484,-117.13421,-0.53499204,166.95264,-0.46875757,142.18779,-13.672206,-116.12531
721075000,-15.054171,39.210957,-0.53987199,-34.390896,-0.54478699,-38.846256,-15.096179,64.451797
733550000,-13.75869,-33.121338,-0.57233566,-96.182045,-0.53014213,-107.17478,-14.59738,-9.8880796
746025000,-16.409166,-93.871109,-0.51429182,-159.2794,-0.46191227,-176.13557,-15.380053,-81.002602
758500000,-17.332661,-120.0673,-0.46775076,136.61172,-0.48140278,114.31399,-16.439199,-138.97366
770975000,-16.861118,1.6643111,-0.4713493,-64.241905,-0.55495131,-69.839966,-15.349216,42.213585
783450000,-17.251621,-54.612988,-0.57866508,-127.57131,-0.62400216,-138.90875,-15.528267,-29.266968
795925000,-15.496042,-118.00316,-0.58677715,169.21284,-0.67507935,152.27571,-15.594213,-101.82059
808400000,-13.98278,174.22749,-0.69613028,105.65009,-0.65148526,83.244301,-16.224977,-175.30171
820875000,-18.495693,-44.374538,-0.55324572,-98.480064,-0.55389887,-103.57093,-18.120342,17.942484
833350000,-19.197071,-119.76686,-0.52966768,-163.1973,-0.56188977,-173.83772,-18.734245,-49.712376
845825000,-23.395418,166.66768,-0.49514055,131.75967,-0.54085428,115.6299,-20.066517,-121.54028
858300000,-28.150389,168.71367,-0.48755851,66.100296,-0.53577954,44.53207,-25.119247,157.59151
870775000,-29.04199,-141.52733,-0.53700429,-136.51784,-0.49707934,-141.5675,-29.301466,66.456848
883250000,-30.805477,80.683601,-0.54646176,157.96632,-0.53118539,146.8721,-29.157013,39.594948
895725000,-25.003031,-6.3974171,-0.59295255,91.876236,-0.58496928,74.699226,-25.646198,-50.694069
908200000,-24.052715,-38.060146,-0.62224549,25.579889,-0.70255065,2.2374144,-20.153215,-153.88116
920675000,-18.878368,110.61243,-0.66975975,178.73795,-0.679052,173.17682,-18.67774,59.543758
933150000,-15.622389,35.310097,-0.84094507,111.18307,-0.79335678,99.113342,-17.371904,-12.933971
945625000,-14.588641,-32.519943,-0.98309672,42.858059,-0.95537651,24.555336,-15.918219,-85.521019
958100000,-15.372283,-74.497131,-1.1266929,-26.49967,-1.0710759,-50.812256,-14.793101,177.26405
970575000,-13.889868,85.780312,-1.0670552,121.16505,-1.1410879,115.39104,-13.568497,-39.77084
983050000,-10.440948,37.850128,-1.5817374,47.866726,-1.6118685,35.979595,-10.771056,-142.47386
995525000,-6.4817958,-25.211462,-2.4304516,-25.230259,-2.2565522,-43.663486,-8.1915054,116.86703
1008000000,-4.817574,-93.085777,-3.0846581,-99.592186,-2.9075167,-126.12201,-5.3778801,24.397293
1020475000,-3.3158095,50.129959,-4.7831368,38.877369,-4.8071756,34.339207,-3.1864181,-169.42575
1032950000,-2.331646,-19.833651,-7.0658712,-40.501152,-7.0500021,-49.836792,-2.0559013,102.52111
1045425000,-1.707449,-88.37822,-10.561841,-110.94807,-10.296131,-128.4623,-1.9148719,17.628366
1057900000,-1.3189851,-154.10648,-12.760681,-175.35872,-13.134703,160.95682,-1.4323938,-60.396297
1070375000,-0.97606736,-11.125438,-15.287995,-28.572111,-15.176352,-31.619631,-0.79119337,120.38458
1082850000,-0.76972544,-78.865242,-18.057453,-93.072983,-18.271505,-105.29254,-0.75244236,45.144947
1095325000,-0.80027425,-145.86931,-20.913567,-159.01852,-21.226635,-176.72621,-0.62653697,-27.008329
1107800000,-1.15903,143.24922,-23.906147,128.48473,-24.097332,109.90985,-0.35831386,-98.548355
1120275000,-1.9250422,-88.663544,-27.861635,-76.442894,-28.094631,-84.885437,-0.34770411,86.804428
1132750000,-3.822046,169.43842,-34.451118,-153.32454,-35.551033,-161.60384,-0.40639085,14.349499
1145225000,-5.2735324,23.028234,-39.951077,-140.7982,-41.488136,-147.87938,-0.70760119,-56.859425
1157700000,-3.0468712,-106.31358,-34.208138,168.94099,-36.524738,145.32611,-0.77875572,-125.52631
1170175000,-1.8830528,13.934402,-36.50769,-31.542217,-36.912529,-47.242405,-0.38680583,64.778641
1182650000,-1.1316953,-60.263626,-39.456661,-112.6245,-38.95372,-120.36307,-0.1715011,-3.6049078
1195125000,-1.0381621,-125.95644,-46.136566,173.91164,-41.546482,168.11511,0.0029965965,-73.597572
1207600000,-1.0388368,170.21843,-50.007973,164.04883,-44.863075,98.025986,-0.31309044,-143.8114
1220075000,-0.79580218,-45.761135,-52.495525,-108.30647,-48.393291,-80.659607,-0.26905257,48.468555
1232550000,-0.8429355,-104.78074,-46.313107,-67.181465,-52.524391,-145.83479,-0.023150133,-19.50749
1245025000,-0.7983464,-163.13914,-47.903782,102.37311,-57.609993,153.30722,0.050761372,-89.334869
1257500000,-0.46002755,136.33919,-63.418327,-10.812345,-66.602028,95.118172,-0.35433617,-159.1992
1269975000,-0.53856826,-76.32618,-47.95393,91.70652,-71.223015,26.354132,-0.22738551,33.710556
1282450000,-0.6338892,-135.92006,-48.070648,15.200072,-64.095261,-10.59133,-0.32385758,-34.061283
1294925000,-1.0535794,165.55739,-46.656826,-54.506386,-61.569271,-69.059624,-0.514745,-100.24321
1307400000,-1.2570018,108.75603,-61.87365,-153.92178,-60.098293,-132.21832,-0.6632272,-165.5535
1319875000,-0.81505293,-101.8109,-61.618656,120.31026,-58.813507,48.255756,-0.38355973,23.924072
1332350000,-0.80731606,-157.04312,-56.707596,-21.75173,-58.503662,-12.127203,-0.15534475,-40.90646
1344825000,-0.40761173,145.06114,-49.217987,-76.554024,-57.366894,-79.384308,0.24835192,-108.90462
1357300000,-0.26126257,82.742821,-52.735023,16.068064,-57.69323,-150.92564,-0.0039751637,-179.1465
1369775000,-0.79663885,-127.09254,-54.233185,-44.057301,-58.75293,30.333626,-0.078205444,11.606707
1382250000,-0.87816048,174.92406,-42.427891,8.3891325,-59.808372,-36.644459,-0.47538298,-58.28072
1394725000,-0.94753408,115.86592,-59.314724,81.004417,-61.735538,-98.486763,-0.85409766,-122.08334
1407200000,-0.90086192,57.374496,-50.058285,-102.13715,-62.588657,-157.09805,-0.23645423,177.61752
1419675000,-0.96742976,-153.50815,-44.003777,-93.16954,-63.340931,16.503166,-0.16702181,4.1120319
1432150000,-1.0472925,147.09357,-55.657673,85.194847,-65.297348,-44.817787,-0.05915904,-62.179153
1444625000,-0.9382515,86.577568,-52.406307,-92.514732,-68.027435,-112.19189,-0.12616037,-129.29201
1457100000,-0.75130844,26.402063,-51.279919,-23.652237,-69.246628,178.53752,-0.30715081,164.33556
1469575000,-1.0702257,175.63,-48.730564,-46.89938,-73.369545,5.7344856,-0.0075527728,-3.7536416
1482050000,-0.93573928,113.82468,-56.709625,94.893227,-76.861412,-45.014973,0.25194857,-71.762657
1494525000,-0.87689924,49.738113,-52.118496,-16.683815,-88.137161,-38.750465,-0.060851727,-141.10551
1507000000,-1.2608095,-12.500414,-44.174007,-154.81093,-81.585747,-40.444267,-0.73272872,152.70787
1519475000,-1.4224007,141.71129,-70.004982,-5.8088956,-75.224709,141.46654,-0.15444398,-13.260064
1531950000,-1.7150108,79.127731,-44.348858,132.51552,-73.416771,78.40699,-0.23113623,-79.973221
1544425000,-1.4944854,17.672251,-45.124161,-101.73647,-70.821846,18.050352,-0.31512997,-143.75014
1556900000,-1.0207161,-45.2617,-58.248047,-151.07253,-68.450325,-38.985451,-0.25015977,154.15216
1569375000,-1.6982095,102.61187,-44.135357,-177.11224,-67.269089,134.86592,-0.25314757,-17.095917
1581850000,-1.7010529,38.119507,-50.168999,168.49022,-65.865929,71.452377,0.18319915,-81.397659
1594325000,-1.6583469,-25.453102,-46.660976,-137.85156,-65.58812,0.12264947,0.52463216,-151.15233
1606800000,-1.726101,-87.331779,-49.387547,137.24374,-65.457977,-72.387047,-0.093559481,138.47343
1619275000,-1.9374579,59.179703,-45.541046,45.653927,-65.746803,105.44838,-0.29184932,-27.544855
1631750000,-2.0539999,-3.4464757,-46.523056,-27.38932,-67.050049,42.613739,-0.76410753,-92.877525
1644225000,-1.7677366,-63.783291,-49.17569,24.110672,-66.483742,-18.496908,-0.67142725,-153.42201
1656700000,-1.3328948,-124.69281,-44.726078,19.154934,-66.332367,-78.094131,0.37609947,145.62865
1669175000,-1.6421448,18.507912,-47.26284,136.83412,-66.949509,94.866005,-0.37234753,-30.367096
1681650000,-1.542442,-44.817108,-58.411022,-170.24178,-68.082397,22.371683,-0.20262523,-92.49337
1694125000,-2.0719023,-105.48404,-48.196709,6.9055953,-67.902908,-40.288349,0.38064393,-158.94658
1706600000,-2.436888,-162.19897,-57.219185,165.02629,-69.577446,-108.07642,0.47189984,130.11478
1719075000,-1.4689496,-18.705246,-46.226517,-173.29523,-70.169777,66.752235,0.13411792,-37.299164
1731550000,-1.4407806,-76.676544,-45.173729,-72.939201,-72.033447,9.0468826,0.035171758,-106.02947
1744025000,-1.180005,-136.51102,-56.913483,-66.961983,-74.461838,-71.183517,-0.84469932,-171.52737
1756500000,-1.1456969,159.51848,-53.217957,47.237411,-75.467575,-117.32067,-1.2913508,128.46912
1768975000,-1.4066188,-50.655849,-40.866776,123.88238,-89.310226,26.492762,-0.22369519,-43.529995
1781450000,-1.4813272,-107.72023,-49.72213,12.174575,-81.925476,-0.82305914,-0.073305205,-107.9045
1793925000,-1.5224656,-165.91551,-47.569366,160.88785,-80.017662,-26.943596,0.17365035,-171.9205
1806400000,-1.3197879,135.00415,-44.074062,-83.492073,-81.787941,-74.177376,0.16247889,123.72028
1818875000,-1.286112,-78.746109,-48.205967,36.95332,-85.976898,139.33443,-0.046709143,-47.354431
1831350000,-1.1921873,-133.38283,-51.605614,-151.62271,-80.07103,96.041534,0.30389369,-113.43252
1843825000,-0.97735155,169.88539,-56.20237,48.347733,-76.880417,54.090294,0.26668766,177.21309
1856300000,-0.7776807,109.15224,-44.034309,23.430489,-77.038902,-15.849251,-0.214735,109.76768
1868775000,-0.96302253,-101.13589,-44.949883,-13.440963,-75.168427,172.38304,-0.22282998,-56.366837
1881250000,-0.79015547,-159.7989,-62.101204,-21.323004,-74.048508,115.49058,-0.84926033,-120.61633
1893725000,-0.83468765,140.12245,-60.973396,-96.383614,-72.554016,63.63858,-0.62916487,179.78606
1906200000,-1.0080175,81.413086,-53.441887,-58.924664,-69.834824,-10.171205,0.78502512,114.99963
1918675000,-0.94466537,-122.81024,-55.777699,92.563049,-71.96743,168.1938,-0.14873542,-57.546852
1931150000,-1.0455087,-179.66699,-45.919022,108.52799,-71.205605,117.72066,0.13748015,-121.8445
1943625000,-0.90458304,124.28156,-50.741154,59.419983,-69.167503,46.044037,0.21384396,169.69238
1956100000,-0.45454776,66.371452,-49.369587,-60.115219,-68.923241,-26.077972,-0.031053795,102.17089
1968575000,-0.90037119,-139.14996,-53.496017,-142.24109,-69.649841,165.59924,0.010201005,-64.277428
1981050000,-0.66947109,164.64638,-56.163799,10.932704,-68.409729,101.19516,-0.14954875,-130.85191
1993525000,-0.51568937,104.95918,-51.802135,148.49471,-68.365295,29.033754,-0.64596337,164.45686
2006000000,-0.74019444,46.901726,-50.395977,-25.01165,-67.611977,-28.390364,-0.78623998,102.19626
2018475000,-0.94118017,-156.69928,-44.435703,99.912254,-67.838493,152.14479,-0.3236559,-67.93248
2030950000,-1.2207637,148.07346,-58.778812,91.691795,-68.377998,88.645645,0.095810607,-128.34409
2043425000,-1.1124297,95.558128,-45.968842,46.756344,-66.344994,34.065121,0.95446998,166.63687
2055900000,-0.51433539,41.810623,-51.919601,-31.434736,-65.746429,-38.494328,0.51490128,95.026054
2068375000,-0.64963001,-172.96477,-50.518799,-18.07819,-66.705048,148.13461,-0.14866287,-72.958908
2080850000,-0.59075928,132.21021,-42.728455,12.860156,-66.231834,79.698639,-0.18231183,-137.97713
2093325000,-0.55202752,72.988159,-44.228634,-145.96822,-65.022346,19.493851,-0.15716943,155.69803
2105800000,-1.0355829,12.691836,-45.350643,31.415466,-66.599533,-54.489807,-0.10713248,89.593361
2118275000,-0.93041676,172.8468,-44.135757,77.358612,-66.13063,134.99562,-0.22386256,-78.023499
2130750000,-1.0108606,117.43423,-43.734428,-69.144302,-65.967255,73.777191,-0.2713961,-142.15685
2143225000,-0.59750575,62.884014,-67.384499,164.97003,-66.166931,14.343862,-0.059261069,153.15096
2155700000,-0.14248464,7.1297808,-43.180527,3.2585061,-65.226578,-52.309097,0.21574047,87.171234
2168175000,-0.77563441,158.20125,-50.316532,29.333454,-65.496918,130.80782,-0.13277948,-81.625359
2180650000,-0.6997056,102.44695,-53.849117,-124.16763,-65.193001,62.900047,-0.075753041,-146.25096
2193125000,-0.65798545,46.970913,-47.537415,120.34796,-65.038567,3.2344196,0.018266222,146.76807
2205600000,-0.81227285,-7.5888524,-43.347866,171.16765,-65.28434,-62.134949,0.030340426,79.600922
2218075000,-0.69246471,141.72725,-40.6451,136.03889,-64.710487,115.89562,-0.16961978,-87.812431
2230550000,-0.56076741,81.647949,-55.06237,114.37055,-66.206253,48.018433,-0.50341469,-152.26619
2243025000,-0.92997211,24.62064,-59.861805,-4.8664994,-65.18692,-6.9657845,-0.573089,145.20798
2255500000,-1.362711,-27.227873,-55.532764,-30.776159,-65.544716,-65.149742,0.061153512,82.011154
2267975000,-0.76785743,125.17811,-52.359955,-87.051903,-65.865242,106.62499,-0.053155344,-89.437912
2280450000,-0.7907728,67.531319,-50.596821,-127.5419,-64.560944,45.641205,0.58602601,-152.94478
2292925000,-0.5093044,11.379738,-48.313534,73.987106,-64.148293,-20.735014,0.56902021,137.38145
2305400000,-0.28661236,-45.412193,-49.401367,90.288635,-65.176086,-88.221275,-0.67485541,69.988434
2317875000,-0.71824288,112.45749,-42.809692,80.541328,-65.103195,100.56857,-0.094553545,-96.018417
2330350000,-0.99989784,53.329578,-42.960075,151.38013,-64.976334,34.201851,-0.14143652,-161.87195
2342825000,-1.4322767,-4.2270527,-52.663918,-168.15228,-65.589279,-30.738953,-0.089447267,132.29543
2355300000,-1.3142748,-58.97971,-51.779202,-106.59875,-64.664688,-89.534393,0.021995131,66.033989
2367775000,-0.90975517,94.492783,-50.940197,-4.1743989,-65.759064,92.626564,-0.21356161,-99.654335
2380250000,-0.79121655,37.281231,-49.600422,62.29184,-64.484863,23.00489,0.067144282,-163.04756
2392725000,-0.85844141,-17.680794,-47.961914,33.835827,-64.300804,-37.146942,0.68826461,130.6769
2405200000,-1.0558466,-72.754021,-59.069252,-179.36914,-64.550453,-108.87254,0.74465877,60.508156
2417675000,-0.88862646,80.085739,-43.240177,64.168053,-64.604187,81.48159,-0.10775393,-104.27607
2430150000,-0.80615598,22.704021,-55.464279,7.1382904,-64.212151,11.463013,-0.042081296,-170.35155
2442625000,-0.94849777,-33.966785,-44.604366,-25.209782,-63.941742,-48.189507,0.11685709,122.61555
2455100000,-1.2925241,-89.97525,-51.164223,169.70383,-64.885384,-115.55357,0.21998173,55.665314
2467575000,-1.0159091,61.659595,-44.761238,3.5025344,-64.617668,68.064957,-0.15663317,-108.90931
2480050000,-1.0535098,4.6205349,-47.305031,121.89719,-64.750626,4.1124344,-0.26003581,-174.23741
